0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
difficult,-0.7578,-0.1175,0.17357999999999998,0.37446999999999997,-0.78754,-0.44833999999999996,-0.50039,0.087245,0.23401,-0.012345,0.29594000000000004,-0.043807,0.10290999999999999,-0.60423,-0.33494,-0.17373,-0.10630999999999999,-0.096489,-0.22841999999999998,0.29912,0.19005,0.004368899999999999,0.36473,-0.15962,-0.25493000000000005,-0.17868,-0.52857,-0.58882,0.06012000000000001,-0.016169,-0.67676,-0.09177,0.05468200000000001,-0.65373,0.49046999999999996,0.29982,-0.40943,-0.032608,0.24011999999999997,-0.26605999999999996,-0.41956000000000004,0.18494000000000002,0.1484,-0.35749000000000003,-0.76446,-0.095023,0.96593,0.12272000000000001,-0.31475,-0.5209199999999999,0.39725,-0.32365,0.17565999999999998,1.2764,0.73993,-2.3208,0.32656999999999997,-0.024733,1.5983,0.40175,-0.4875,0.6363,-0.035824,-0.20288,0.90115,-0.14219,0.48008,0.23949,0.12967,-1.0379,-0.15971,-0.31279,-0.061770000000000005,0.17973,0.7770199999999999,-0.33118000000000003,-0.78517,-0.021534,-0.36486999999999997,0.11717000000000001,0.71787,0.42556000000000005,-0.73315,-0.097714,-2.0283,-0.1481,0.08987300000000001,0.16549,-0.754,-0.3694,-0.17314000000000002,0.34485,-0.24836999999999998,-0.13118,-0.29111,0.36451,-0.39648,-0.070525,-0.007182399999999999,0.26125
miss,0.02893,-0.46821999999999997,0.2367,-0.50753,0.031226999999999998,0.1179,0.083959,1.305,-0.10777,-0.44359,-0.090442,-0.53932,0.10912999999999999,-0.096336,-0.43649,0.050192,-0.09136699999999999,0.83447,-0.31833,1.1292,-0.3089,0.27726,0.20306,0.70829,0.5421600000000001,0.42273999999999995,-0.27337,-1.0732,0.77889,-0.26875,0.071493,0.44803000000000004,0.74892,-0.32795,0.3944,-0.17874,-0.26944,0.44322,-0.60534,0.025391999999999998,-0.65265,0.18999000000000002,0.082344,-0.34581,-0.069987,0.94968,0.47468999999999995,-0.19099000000000002,-0.060141999999999994,-0.47323999999999994,-0.25758000000000003,0.73674,0.27066999999999997,-0.31471,0.030217,-2.3685,-0.17777,-0.06251799999999999,0.50943,0.31405,-0.47943,0.919,-0.76331,-0.068369,0.19251,0.18762,0.14922,0.43215,-0.46745,-0.038997000000000004,0.34608,0.02936,0.18473,0.55225,0.11163,0.63338,0.060851999999999996,-0.40879,0.012683,0.12428,-0.023403999999999998,-0.19355999999999998,0.089917,-0.21034,-1.0868,-0.83826,-0.47748,0.33068000000000003,0.54194,-0.54181,-0.055095000000000005,0.40435,0.51041,0.3443,-0.75625,0.092101,0.013236000000000001,0.07181,-0.5709,-0.24714
words,0.072607,0.7088899999999999,0.42583000000000004,-0.056344000000000005,-0.27468000000000004,1.0245,-0.34179,-0.8024399999999999,-0.17076,-0.34955,-0.033893,0.15975,0.11722,0.46308,-0.21898,-0.11145,-0.25906,-0.16977,-0.6176699999999999,-0.25274,0.67205,-0.22908,-0.15565,0.008556,0.22689,-0.13908,-0.054157000000000004,0.10742,0.23514000000000002,-0.08914,0.14436,0.79394,-0.5713600000000001,-0.25193000000000004,-0.39158000000000004,-0.13934000000000002,-0.38139,-0.094135,0.26056999999999997,0.077475,-0.14822000000000002,-0.41463999999999995,0.0025563,0.044005,-0.77818,-0.15953,-0.061808,-0.39439,-0.52755,-0.62012,0.71911,-0.010981999999999999,1.1115,0.80687,-0.31538,-1.6293,0.033266000000000004,-0.063853,0.61646,-0.10547000000000001,0.3589,1.4457,-0.46421,-0.7558699999999999,0.64232,-0.16544,0.90204,0.15494000000000002,-0.028529000000000002,-0.74347,-0.5755600000000001,0.42777,0.12495999999999999,-0.93405,0.71049,0.51595,-0.014972999999999998,0.43813,-0.54513,-0.14966,0.01321,-1.4461,-0.50183,-0.7789,-1.8105,0.43226000000000003,-0.21408000000000002,-0.67476,0.5673,-0.37571,-0.306,0.63,0.11220999999999999,0.37959,-0.46608,-0.030273,-0.8495299999999999,-0.46243999999999996,-0.2651,0.5755899999999999
due,-0.38090999999999997,-0.39921,0.36298,0.38955,-0.47161000000000003,-0.6240100000000001,-0.46884,0.44453000000000004,-0.0021434,-0.071924,-0.27513000000000004,0.1762,0.85769,-0.34676,0.45441000000000004,-0.6412899999999999,-0.23765,-0.01052,0.14712,-0.014953,-0.27536,-0.59454,0.3202,0.81088,0.27804,-0.11713,0.14079,-0.4155,0.569,0.45848999999999995,-0.13614,-0.07399800000000001,-0.5041399999999999,-0.17176,-0.45525,0.45893999999999996,0.44087,0.19897,-0.67165,0.14302,-0.5003,-0.11499000000000001,0.23487,0.022082,0.75274,-0.08659,0.38118,-0.19116,0.30632,-0.9548399999999999,0.46265,-0.16322,0.31705,0.95647,0.33894,-2.5745,-0.3983,-0.6503,1.9305,0.25376,-0.37126,0.53269,-0.55988,0.17556,0.84373,-0.19399,-0.043265,-0.64074,0.49327,-0.56457,-0.77037,-0.19492,-0.050214999999999996,0.025869,0.12057000000000001,-0.0044831,-0.32944,0.31881,-0.9566399999999999,0.27967,0.5705399999999999,-0.26358000000000004,-0.30308,0.16365,-1.2611,-0.39923000000000003,-0.13475,0.089142,-0.55023,-0.16943,-0.58903,-0.070594,-0.5775399999999999,0.8034600000000001,-0.27138,0.34169,-0.046245999999999995,-0.066712,0.78722,-0.9540000000000001
case,0.41052,0.058649,0.28515,-0.099504,0.076813,0.15387,0.36206,-0.10112,0.093865,-0.23309000000000002,-0.13663,0.54577,0.0138,0.38415,-0.39695,0.16228,0.099602,0.24988000000000002,-0.33659,0.039019,0.33905,-0.66241,0.37472,0.21631,0.16885999999999998,0.18165,0.55425,-0.6101,-0.8522700000000001,0.36984,0.6891,0.45316000000000006,0.082091,0.10839000000000001,-0.24239000000000002,0.15888,0.11656,-0.060652,0.57618,-0.3042,-0.65261,-0.38063,0.58332,-1.0504,-0.095388,0.014547,0.59942,-0.55361,0.17132,-0.6945100000000001,0.99215,-0.39131,0.31876,1.1508,-0.5727899999999999,-1.8148,-0.39404,-0.5783,1.9226,0.59717,-0.76435,0.5946600000000001,0.28298,-0.25469,1.4569,-0.41196000000000005,0.43956999999999996,0.74745,-0.67474,0.43792,-0.0045149,-0.03932,-0.03232,0.18805,0.73553,0.14875,-0.066224,-0.56274,-0.92785,0.22184,0.81973,0.0065571,-0.046961,-0.31358,-1.5983,-0.52369,-0.016562,0.094486,-0.15641,-0.66476,-0.14292,-0.47557,-0.44785,0.10048,1.1182,0.5413600000000001,-0.030505,-0.37898000000000004,0.33021,-0.27462
punctuation,0.66072,0.74273,-0.067239,0.051737,-0.54002,0.64322,-0.7136100000000001,-0.5479,-0.15256,0.57328,-1.0072,0.26509,0.15405,0.6698,0.5536399999999999,0.33771999999999996,-0.1525,0.0017599,0.1801,-0.23351999999999998,0.07798,-0.23363,-0.30723,0.01516,1.3995,-0.75226,0.22955,-0.014830000000000001,-0.5004,-0.58286,-0.10993,0.49558,-0.18011,-0.036022000000000005,-0.60802,-0.30913,-0.15374000000000002,-0.42758,-0.28693,-0.15591,0.68065,0.046149,-0.40337,0.48741999999999996,-0.80407,0.3485,0.41297,-0.43588000000000005,-0.56738,0.062748,0.7725,-0.43068999999999996,-0.29146,0.51193,-0.74962,0.22305,-0.058085000000000005,0.057901999999999995,0.044162,0.15693,-0.15774000000000002,0.23467,-0.38497,0.44955,-0.0060331000000000004,-0.9248799999999999,0.33279000000000003,0.022246000000000002,0.012785,-0.6977899999999999,-1.4713,-0.06225700000000001,0.38869000000000004,-0.037136,0.97869,0.32191,0.069926,0.63513,0.13717000000000001,-0.21694000000000002,-0.62439,-1.2189,-0.27355999999999997,-0.5855199999999999,-1.2842,0.9073200000000001,-0.21958000000000003,-0.56453,0.16973,0.48438000000000003,-0.87072,0.94211,-0.044258,0.25445,-0.22061,-0.47938000000000003,0.35520999999999997,-0.58254,-0.8216100000000001,0.61016
common,-0.21028000000000002,0.71205,0.38301999999999997,0.28301,0.056311,0.018544,-0.094069,-0.56188,0.01212,-0.08295,-1.1934,-0.34129,0.37237,0.62108,0.24494000000000002,-0.30245,0.017338,-0.20248,-0.40166,-0.11364,0.10561,-0.32799,0.29568,0.13978,0.35362,-0.025882,0.30219,-0.52062,-0.54385,0.375,0.15784,0.7327,-0.038845,-0.35941,0.66166,0.38688,0.18103,-0.12359,0.81587,0.031975,-0.24265,-0.12955,0.19998,-0.40885,-0.15014,0.37412,0.48327,0.12555,-0.94652,-0.61997,0.35302,-0.037146,-0.086757,0.67132,-0.29295,-1.8341,0.28691,-0.33282,1.6753,0.075936,-0.099551,0.7083,-0.094524,-0.16793,1.0438,-0.11405,-0.28094,-0.3992,0.84396,-1.0419,-1.1151,-0.14592,0.080421,-0.32085,0.30903,-0.19910999999999998,-0.43865,-0.15909,-1.0732,0.19885999999999998,0.37885,0.010478,0.086826,0.089081,-1.4753,0.48891999999999997,-0.25989,-0.16826,0.11673,0.50149,-0.5556800000000001,-0.24129,-0.19091,0.28808,-0.40671,0.30576,-1.1831,-0.93248,0.73838,0.55162
words,0.072607,0.7088899999999999,0.42583000000000004,-0.056344000000000005,-0.27468000000000004,1.0245,-0.34179,-0.8024399999999999,-0.17076,-0.34955,-0.033893,0.15975,0.11722,0.46308,-0.21898,-0.11145,-0.25906,-0.16977,-0.6176699999999999,-0.25274,0.67205,-0.22908,-0.15565,0.008556,0.22689,-0.13908,-0.054157000000000004,0.10742,0.23514000000000002,-0.08914,0.14436,0.79394,-0.5713600000000001,-0.25193000000000004,-0.39158000000000004,-0.13934000000000002,-0.38139,-0.094135,0.26056999999999997,0.077475,-0.14822000000000002,-0.41463999999999995,0.0025563,0.044005,-0.77818,-0.15953,-0.061808,-0.39439,-0.52755,-0.62012,0.71911,-0.010981999999999999,1.1115,0.80687,-0.31538,-1.6293,0.033266000000000004,-0.063853,0.61646,-0.10547000000000001,0.3589,1.4457,-0.46421,-0.7558699999999999,0.64232,-0.16544,0.90204,0.15494000000000002,-0.028529000000000002,-0.74347,-0.5755600000000001,0.42777,0.12495999999999999,-0.93405,0.71049,0.51595,-0.014972999999999998,0.43813,-0.54513,-0.14966,0.01321,-1.4461,-0.50183,-0.7789,-1.8105,0.43226000000000003,-0.21408000000000002,-0.67476,0.5673,-0.37571,-0.306,0.63,0.11220999999999999,0.37959,-0.46608,-0.030273,-0.8495299999999999,-0.46243999999999996,-0.2651,0.5755899999999999
n't,0.15730999999999998,0.3953,0.6358600000000001,-1.0975,-0.95768,-0.013841,-0.19852999999999998,0.25418,0.36730999999999997,-0.17486,0.27685,0.31943,0.30078,0.068531,-0.15917,-0.21944,0.064097,0.84745,-0.6198899999999999,0.54173,0.27921,0.50383,0.02146,-0.20571,0.07799400000000001,0.32229,-0.49183000000000004,-1.1411,0.23333,-0.5435800000000001,0.092285,0.8686,0.069127,0.19229000000000002,0.28374,0.46013999999999994,-0.2832,0.45383999999999997,0.35209,-0.49173,-0.14770999999999998,-0.071767,-0.24355,-0.63089,-0.67797,-0.13164,0.35974,-0.75292,0.038204,-1.7695,0.18893,-0.18872,-0.20268,0.8309,0.07787000000000001,-2.6213,0.081941,0.27262,1.6216,0.86166,-0.21581999999999998,1.0098,-0.78122,-0.11663,1.0629,0.1583,1.1009,0.70324,-0.6048100000000001,-0.45907,0.079862,-0.6179399999999999,-0.09389600000000001,-0.50363,-0.12217,-0.0017856999999999999,-0.032235,-0.1059,-0.6923199999999999,0.076485,0.6038399999999999,-0.56075,-0.96372,-0.07019199999999999,-2.0788,-0.56423,0.17574,-0.024961,-0.45348999999999995,-0.39287,-0.080573,-0.37634,0.035082999999999996,-0.39662,-0.76165,0.15113,-0.13033,-0.28513,0.19852999999999998,0.67464
help,-0.2272,0.41578000000000004,0.035985,-0.22895,0.13480999999999999,-0.12407,-0.56653,-0.32095999999999997,0.16222999999999999,-0.024273,-0.033683,-0.4281,-0.043623,-0.18682,-0.29002,-0.2464,0.51505,-0.27678,-0.9769100000000001,0.6466,-0.2955,-0.34955,0.0085932,0.17147,-0.24341,0.018099,-0.57991,-0.68634,0.29723,-0.19539,-0.39285,0.55418,-0.11855,0.40271,-0.24441,0.13792000000000001,0.14396,0.15116,0.19257,-0.095074,-0.59663,-0.27685,-0.43814,-0.9894700000000001,-0.52515,0.5200600000000001,-0.4445,-0.23365999999999998,-0.21019000000000002,-0.9059,-0.78404,0.11093,0.09208,1.2145,0.52067,-2.4821,-0.17693,-0.9413600000000001,1.8578,0.17312,-0.32761,0.45066999999999996,-0.09235299999999999,0.11200999999999998,0.50869,0.5274300000000001,-0.07520299999999999,0.7351800000000001,0.40715999999999997,-0.74727,0.60342,-0.69189,-0.56087,-0.8725200000000001,0.5694899999999999,0.35641999999999996,-0.25138,0.37888,-0.6802199999999999,0.19444,0.92435,0.5161,-0.62632,-0.16946,-1.825,0.23406,0.31977,0.76773,-0.83824,-0.38335,-0.037695,-0.053895000000000005,0.1697,-0.97895,-0.5481,-0.25664000000000003,0.10314000000000001,-0.16627999999999998,0.21600000000000003,0.015172
